Dataset,Noise,Model,Accuracy,F1 Score,Precision,Recall
BBC News Full,AddRandomCharsNoise,TARSZeroShot,0.804,0.7755769716909826,0.7638809523809523,0.804
BBC News Full,AddRandomWordsNoise,TARSZeroShot,0.746,0.715661517540335,0.7164359656115411,0.746
BBC News Full,DeleteRandomWordsNoise,TARSZeroShot,0.776,0.7435775870290892,0.7361407867494824,0.776
BBC News Full,NoNoise,TARSZeroShot,0.786,0.7590542124542123,0.7535724848041984,0.786
BBC News Full,ReplaceWithAntonymsNoise,TARSZeroShot,0.776,0.754982299289688,0.7584476713149029,0.776
BBC News Full,ReplaceWithSynonymsNoise,TARSZeroShot,0.776,0.7467844886384596,0.7437396593815392,0.776
BBC News Full,ShuffleSentencesNoise,TARSZeroShot,0.77,0.7402920671889875,0.7371358453921752,0.77
