Dataset,Noise,Model,Accuracy,F1 Score,Precision,Recall
AG News LLM labels,AddRandomWordsNoise,LightGBMRoberta,0.5,0.5933333333333334,0.925,0.5
AG News LLM labels,AddRandomWordsNoise,RandomForest,0.5,0.5763636363636364,0.925,0.5
AG News LLM labels,AddRandomWordsNoise,SVM,0.3,0.4615384615384615,1.0,0.3
AG News LLM labels,AddRandomWordsNoise,SVMRoberta,0.4,0.4333333333333333,0.55,0.4
AG News LLM labels,AddRandomWordsNoise,XGBoost,0.4,0.44000000000000006,0.5083333333333333,0.4
AG News LLM labels,AddRandomWordsNoise,XGBoostRoberta,0.5,0.5333333333333334,0.6166666666666666,0.5
AG News LLM labels,DeleteRandomWordsNoise,LightGBM,0.3,0.4615384615384615,1.0,0.3
AG News LLM labels,DeleteRandomWordsNoise,LightGBMRoberta,0.4,0.55,0.9,0.4
AG News LLM labels,DeleteRandomWordsNoise,RandomForest,0.4,0.49000000000000005,0.925,0.4
AG News LLM labels,DeleteRandomWordsNoise,SVM,0.3,0.4615384615384615,1.0,0.3
AG News LLM labels,DeleteRandomWordsNoise,SVMRoberta,0.7,0.701904761904762,0.7666666666666666,0.7
AG News LLM labels,DeleteRandomWordsNoise,XGBoost,0.4,0.4209523809523811,0.4833333333333333,0.4
AG News LLM labels,DeleteRandomWordsNoise,XGBoostRoberta,0.4,0.4833333333333333,0.6333333333333333,0.4
AG News LLM labels,NoNoise,LightGBM,0.3,0.45,0.9,0.3
AG News LLM labels,NoNoise,LightGBMRoberta,0.6,0.5833333333333333,0.6333333333333333,0.6
AG News LLM labels,NoNoise,RandomForest,0.5,0.5763636363636364,0.925,0.5
AG News LLM labels,NoNoise,SVM,0.3,0.4615384615384615,1.0,0.3
AG News LLM labels,NoNoise,SVMRoberta,0.6,0.6000000000000001,0.6166666666666666,0.6
AG News LLM labels,NoNoise,XGBoost,0.5,0.5566666666666668,0.6833333333333333,0.5
AG News LLM labels,NoNoise,XGBoostRoberta,0.5,0.5,0.6,0.5
AG News LLM labels,ReplaceWithAntonymsNoise,LightGBM,0.3,0.45,0.9,0.3
AG News LLM labels,ReplaceWithAntonymsNoise,LightGBMRoberta,0.5,0.5763636363636364,0.925,0.5
AG News LLM labels,ReplaceWithAntonymsNoise,RandomForest,0.5,0.5763636363636364,0.925,0.5
AG News LLM labels,ReplaceWithAntonymsNoise,SVM,0.3,0.4615384615384615,1.0,0.3
AG News LLM labels,ReplaceWithAntonymsNoise,SVMRoberta,0.5,0.5166666666666667,0.5833333333333333,0.5
AG News LLM labels,ReplaceWithAntonymsNoise,XGBoost,0.5,0.5566666666666668,0.6833333333333333,0.5
AG News LLM labels,ReplaceWithAntonymsNoise,XGBoostRoberta,0.4,0.49000000000000005,0.925,0.4
AG News LLM labels,ReplaceWithSynonymsNoise,LightGBM,0.3,0.45,0.9,0.3
AG News LLM labels,ReplaceWithSynonymsNoise,LightGBMRoberta,0.5,0.5763636363636364,0.925,0.5
AG News LLM labels,ReplaceWithSynonymsNoise,RandomForest,0.5,0.5763636363636364,0.925,0.5
