Dataset,Noise,Model,Accuracy,F1 Score,Precision,Recall
20 Newsgroups LLM labels,AddRandomCharsNoise,RandomForest,0.23,0.24,0.63,0.23
20 Newsgroups LLM labels,AddRandomCharsNoise,RandomForestRoberta,0.23,0.25,0.54,0.23
20 Newsgroups LLM labels,AddRandomCharsNoise,SVM,0.08,0.11,0.92,0.08
20 Newsgroups LLM labels,AddRandomCharsNoise,SVMRoberta,0.33,0.33,0.57,0.33
20 Newsgroups LLM labels,AddRandomCharsNoise,XGBoost,0.25,0.25,0.32,0.25
20 Newsgroups LLM labels,AddRandomCharsNoise,XGBoostRoberta,0.27,0.29,0.36,0.27
20 Newsgroups LLM labels,AddRandomWordsNoise,LightGBM,0.14,0.15,0.23,0.14
20 Newsgroups LLM labels,AddRandomWordsNoise,LightGBMRoberta,0.31,0.31,0.38,0.31
20 Newsgroups LLM labels,AddRandomWordsNoise,RandomForest,0.26,0.26,0.61,0.26
20 Newsgroups LLM labels,AddRandomWordsNoise,RandomForestRoberta,0.24,0.26,0.51,0.24
20 Newsgroups LLM labels,AddRandomWordsNoise,SVM,0.08,0.11,0.93,0.08
20 Newsgroups LLM labels,AddRandomWordsNoise,SVMRoberta,0.35,0.34,0.55,0.35
20 Newsgroups LLM labels,AddRandomWordsNoise,XGBoost,0.26,0.27,0.33,0.26
20 Newsgroups LLM labels,AddRandomWordsNoise,XGBoostRoberta,0.28,0.29,0.36,0.28
20 Newsgroups LLM labels,DeleteRandomWordsNoise,LightGBM,0.13,0.14,0.21,0.13
20 Newsgroups LLM labels,DeleteRandomWordsNoise,LightGBMRoberta,0.33,0.34,0.4,0.33
20 Newsgroups LLM labels,DeleteRandomWordsNoise,RandomForest,0.24,0.24,0.62,0.24
20 Newsgroups LLM labels,DeleteRandomWordsNoise,RandomForestRoberta,0.27,0.3,0.54,0.27
20 Newsgroups LLM labels,DeleteRandomWordsNoise,SVM,0.08,0.11,0.93,0.08
20 Newsgroups LLM labels,DeleteRandomWordsNoise,SVMRoberta,0.4,0.4,0.51,0.4
20 Newsgroups LLM labels,DeleteRandomWordsNoise,XGBoost,0.24,0.24,0.31,0.24
20 Newsgroups LLM labels,DeleteRandomWordsNoise,XGBoostRoberta,0.31,0.32,0.39,0.31
20 Newsgroups LLM labels,NoNoise,LightGBM,0.14,0.15,0.23,0.14
