Dataset,Noise,Model,Accuracy,F1 Score,Precision,Recall
20 Newsgroups Full,AddRandomCharsNoise,TARSZeroShot,0.04,0.05,0.14,0.04
20 Newsgroups Full,AddRandomWordsNoise,TARSZeroShot,0.03,0.04,0.08,0.03
20 Newsgroups Full,DeleteRandomWordsNoise,TARSZeroShot,0.04,0.05,0.1,0.04
20 Newsgroups Full,NoNoise,TARSZeroShot,0.03,0.04,0.08,0.03
20 Newsgroups Full,ReplaceWithAntonymsNoise,TARSZeroShot,0.03,0.04,0.08,0.03
20 Newsgroups Full,ReplaceWithSynonymsNoise,TARSZeroShot,0.03,0.04,0.08,0.03
20 Newsgroups Full,ShuffleSentencesNoise,TARSZeroShot,0.03,0.04,0.07,0.03
