Dataset,Noise,Model,Accuracy,F1 Score,Precision,Recall
BBC News Full,AddRandomCharsNoise,SVMRoberta,0.908,0.9085176100743327,0.9219287242169595,0.908
BBC News Full,AddRandomWordsNoise,SVMRoberta,0.876,0.8814828059634385,0.9092107333842627,0.876
BBC News Full,DeleteRandomWordsNoise,SVMRoberta,0.938,0.9393389591160916,0.9477829853153382,0.938
BBC News Full,NoNoise,SVMRoberta,0.96,0.960037764971855,0.9603294881589,0.96
BBC News Full,ReplaceWithAntonymsNoise,SVMRoberta,0.944,0.9439633196410075,0.9496103290855209,0.944
BBC News Full,ReplaceWithSynonymsNoise,SVMRoberta,0.948,0.9479058363845041,0.9533185933134782,0.948
BBC News Full,ShuffleSentencesNoise,SVMRoberta,0.958,0.9581660195588144,0.9592454556064852,0.958
