Dataset,Noise,Model,Accuracy,F1 Score,Precision,Recall
AG News Full,ReplaceWithSynonymsNoise,SVM,0.6238157894736842,0.6255897508872015,0.6367290166204987,0.6238157894736842
AG News Full,ReplaceWithSynonymsNoise,SVMRoberta,0.8177631578947369,0.8173477873136266,0.8334263157894737,0.8177631578947369
AG News Full,ReplaceWithSynonymsNoise,XGBoost,0.37473684210526315,0.38047405354177705,0.4217997922437673,0.37473684210526315
AG News Full,ReplaceWithSynonymsNoise,XGBoostRoberta,0.5851315789473684,0.5886580853976537,0.6572137811634349,0.5851315789473684
AG News Full,ShuffleSentencesNoise,LightGBM,0.25,0.4,1.0,0.25
AG News Full,ShuffleSentencesNoise,LightGBMRoberta,0.7522368421052632,0.7512051415344544,0.7542277700831025,0.7522368421052632
AG News Full,ShuffleSentencesNoise,RandomForest,0.5321052631578947,0.5399547589313216,0.6105832409972299,0.5321052631578947
AG News Full,ShuffleSentencesNoise,SVM,0.6331578947368421,0.6350523678043211,0.6458157894736842,0.6331578947368421
AG News Full,ShuffleSentencesNoise,SVMRoberta,0.8356578947368422,0.8354209027390992,0.8360536703601108,0.8356578947368422
AG News Full,ShuffleSentencesNoise,XGBoost,0.3821052631578947,0.3877589275817845,0.4256452216066482,0.3821052631578947
AG News Full,ShuffleSentencesNoise,XGBoostRoberta,0.6951315789473684,0.6946201661036291,0.7017011080332409,0.6951315789473684
AG News LLM labels,AddRandomCharsNoise,LightGBM,0.24907894736842107,0.3982018686483017,0.9943489612188365,0.24907894736842107
AG News LLM labels,AddRandomCharsNoise,LightGBMRoberta,0.6505263157894737,0.6920235492870002,0.8518299168975069,0.6505263157894737
AG News LLM labels,AddRandomCharsNoise,RandomForest,0.36355263157894735,0.42970681946540845,0.8972518698060941,0.36355263157894735
AG News LLM labels,AddRandomCharsNoise,SVM,0.2910526315789474,0.40311907599384655,0.9614977839335179,0.2910526315789474
AG News LLM labels,AddRandomCharsNoise,SVMRoberta,0.7197368421052631,0.7515048134298046,0.8661511772853185,0.7197368421052631
AG News LLM labels,AddRandomCharsNoise,XGBoost,0.45289473684210524,0.47505469173930115,0.6995414127423822,0.45289473684210524
